'14:39:36', '3200', '26.780', 'DOWN'
'14:39:33', '500', '26.790', 'UP'
'14:39:30', '8300', '26.790', 'UP'
'14:39:27', '16000', '26.790', 'UP'
'14:39:24', '600', '26.780', 'DOWN'
'14:39:21', '400', '26.790', 'UP'
'14:39:18', '100', '26.780', 'DOWN'
'14:39:15', '1500', '26.790', 'UP'
'14:39:12', '89900', '26.800', 'UP'
'14:39:09', '5500', '26.790', 'UP'
'14:39:06', '3500', '26.790', 'UP'
'14:39:03', '1100', '26.780', 'DOWN'
'14:39:00', '1700', '26.790', 'UP'
'14:38:57', '1900', '26.790', 'UP'
'14:38:48', '200', '26.780', 'DOWN'
'14:38:45', '2800', '26.780', 'DOWN'
'14:38:42', '1800', '26.790', 'UP'
'14:38:39', '1300', '26.790', 'DOWN'
'14:38:36', '19000', '26.790', 'EQUAL'
'14:38:33', '31700', '26.800', 'UP'
'14:38:30', '2100', '26.790', 'UP'
'14:38:27', '150200', '26.800', 'UP'
'14:38:24', '9500', '26.790', 'UP'
'14:38:21', '100', '26.790', 'UP'
'14:38:18', '1300', '26.780', 'DOWN'
'14:38:15', '1100', '26.780', 'DOWN'
'14:38:12', '900', '26.790', 'UP'
'14:38:06', '600', '26.780', 'DOWN'
'14:38:03', '100', '26.790', 'UP'
'14:38:00', '6600', '26.790', 'UP'
'14:37:57', '1100', '26.790', 'UP'
'14:37:54', '300', '26.780', 'DOWN'
'14:37:51', '2700', '26.780', 'DOWN'
'14:37:48', '800', '26.790', 'UP'
'14:37:45', '51200', '26.780', 'DOWN'
'14:37:39', '2100', '26.780', 'DOWN'
'14:37:36', '7200', '26.790', 'UP'
'14:37:33', '4000', '26.780', 'DOWN'
'14:37:30', '600', '26.790', 'UP'
'14:37:27', '10400', '26.780', 'DOWN'
'14:37:24', '1900', '26.780', 'DOWN'
'14:37:21', '1400', '26.790', 'UP'
'14:37:18', '5000', '26.790', 'UP'
'14:37:12', '500', '26.780', 'DOWN'
'14:37:09', '2500', '26.790', 'UP'
'14:37:06', '300', '26.790', 'UP'
'14:37:03', '10000', '26.780', 'DOWN'
'14:37:00', '1900', '26.790', 'UP'
'14:36:57', '800', '26.780', 'DOWN'
'14:36:54', '100', '26.780', 'DOWN'
'14:36:51', '2100', '26.790', 'UP'
'14:36:48', '1700', '26.790', 'UP'
'14:36:45', '24300', '26.790', 'UP'
'14:36:42', '1600', '26.790', 'UP'
'14:36:36', '800', '26.780', 'DOWN'
