上证50
上证50选取的是沪市中规模大、流动性最好的50只股票，也就是我们常说的“漂亮50”。
这是一个极不均匀的指数，行业的集中度非常高。从上图可以明显看出，金融股占据了62%的比重。银行、保险、证券成为了指数的三大巨头。当然有利必有弊，上证50常被人诟病的地方也在这，它的走势很容易被金融板块绑架。但不得不说，上证50是一个波动比较小，资产质量比较好的指数。

序号	股票代码	股票简称	最新价(元)	相关资料	主营行业	地区	权重(%)	每股收益(元)	每股净资产(元)	净资产收益率(%)	总股本(亿股)	流通股本(亿股)	流通市值(亿元)
78	601066	中信建投	33.90	股吧 行情 档案 资讯		北京市	0.11	0.50	5.93	7.42	76.46	21.25	293.02
79	601021	春秋航空	39.17	股吧 行情 档案 资讯	交通运输	上海市	0.11	1.87	16.21	12.20	9.17	9.16	358.98
80	601018	宁波港	3.66	股吧 行情 档案 资讯	交通运输	宁波市	0.11	0.26	3.08	8.53	131.73	128.00	468.48
81	601012	隆基股份	29.05	股吧 行情 档案 资讯	电子设备	西安市	0.57	0.98	6.84	16.50	37.72	37.68	1094.47
82	601009	南京银行	8.27	股吧 行情 档案 资讯	金融	南京市	0.36	1.17	8.79	12.19	84.82	84.82	701.48
83	601006	大秦铁路	7.70	股吧 行情 档案 资讯	交通运输	大同市	0.34	0.81	7.49	11.10	148.67	148.67	1144.74
84	600999	招商证券	18.75	股吧 行情 档案 资讯	金融	深圳市	0.40	0.63	10.21	5.88	66.99	66.99	1072.31
85	600998	九州通	16.46	股吧 行情 档案 资讯	医药生物	武汉市	0.07	0.55	8.37	5.61	18.78	16.73	275.45
86	600989	宝丰能源	9.08	股吧 行情 档案 资讯	能源	银川市	0.05	0.41	3.06	15.68	73.33	7.33	66.59
87	600977	中国电影	13.81	股吧 行情 档案 资讯	文化传媒	北京市	0.08	0.47	6.32	7.61	18.67	18.67	257.83
88	600968	海油发展	2.79	股吧 行情 档案 资讯		北京市	0.04	0.10	1.79	5.59	101.65	18.65	52.04
89	600958	东方证券	10.29	股吧 行情 档案 资讯	金融	上海市	0.28	0.25	7.62	3.32	69.94	67.04	584.20
90	600928	西安银行	6.87	股吧 行情 档案 资讯	金融	西安市	0.03	0.46	5.21	9.33	44.44	4.44	30.53
91	600926	杭州银行	9.17	股吧 行情 档案 资讯	金融	杭州市	0.14	1.03	10.04	8.94	51.30	46.86	429.72
92	600919	江苏银行	6.95	股吧 行情 档案 资讯	金融	南京市	0.47	1.03	9.38	9.37	115.44	114.06	792.70
93	600900	长江电力	17.15	股吧 行情 档案 资讯	公用事业	北京市	1.11	0.81	6.60	12.41	220.00	220.00	3773.00
94	600893	航发动力	21.59	股吧 行情 档案 资讯	交运设备	西安市	0.14	0.18	12.64	1.51	22.50	19.48	420.51
95	600887	伊利股份	30.64	股吧 行情 档案 资讯	食品饮料	呼和浩特市	1.42	0.93	3.99	21.55	60.96	59.13	1811.63
96	600886	国投电力	8.16	股吧 行情 档案 资讯	公用事业	北京市	0.20	0.60	5.32	11.14	67.86	67.86	553.74
97	600867	通化东宝	12.16	股吧 行情 档案 资讯	医药生物	通化市	0.13	0.34	2.46	14.14	20.34	20.34	247.33
98	600848	上海临港	23.59	股吧 行情 档案 资讯	房地产	上海市	0.07	0.64	4.60	15.46	21.02	10.13	213.76
99	600837	海通证券	14.55	股吧 行情 档案 资讯	金融	上海市	0.88	0.64	10.78	6.11	115.02	115.02	1177.41
100	600816	安信信托	3.68	股吧 行情 档案 资讯	金融	上海市	0.06	-0.06	2.22	-2.86	54.69	52.64	193.73
101	600809	山西汾酒	91.68	股吧 行情 档案 资讯	食品饮料	吕梁市	0.18	1.95	8.32	25.19	8.72	8.66	793.81
102	600795	国电电力	2.22	股吧 行情 档案 资讯	公用事业	大连市	0.19	0.15	2.71	5.78	196.50	196.50	436.24
103	600760	中航沈飞	29.00	股吧 行情 档案 资讯	交运设备	威海市	0.09	0.44	6.08	7.58	14.00	3.99	115.57
104	600741	华域汽车	26.70	股吧 行情 档案 资讯	交运设备	上海市	0.31	1.56	15.26	10.54	31.53	31.53	841.78
105	600733	北汽蓝谷	6.48	股吧 行情 档案 资讯	房地产	北京市	0.07	-0.08	4.87	-1.62	34.94	16.86	109.27
106	600705	中航资本	4.54	股吧 行情 档案 资讯	金融	哈尔滨市	0.18	0.24	3.21	7.44	89.76	89.76	407.53
107	600703	三安光电	22.56	股吧 行情 档案 资讯	电子设备	荆州市	0.41	0.28	5.30	5.38	40.78	40.78	920.09
108	600690	海尔智家	18.57	股吧 行情 档案 资讯	家电	青岛市	0.51	1.22	6.91	18.44	65.80	65.80	1171.50
109	600674	川投能源	9.11	股吧 行情 档案 资讯	公用事业	成都市	0.12	0.60	5.94	10.32	44.02	44.02	401.03
110	600663	陆家嘴	12.92	股吧 行情 档案 资讯	房地产	上海市	0.08	0.62	4.20	15.11	40.34	40.34	379.00
111	600660	福耀玻璃	24.59	股吧 行情 档案 资讯	交运设备	福州市	0.25	0.94	8.33	11.42	25.09	25.09	492.53
112	600655	豫园股份	7.59	股吧 行情 档案 资讯	商贸零售	上海市	0.09	0.32	7.61	4.26	38.84	16.03	121.67
113	600637	东方明珠	10.62	股吧 行情 档案 资讯	文化传媒	上海市	0.16	0.38	8.32	4.61	34.15	34.15	362.62
114	600606	绿地控股	6.49	股吧 行情 档案 资讯	房地产	上海市	0.17	0.97	6.18	16.03	121.68	121.68	789.71
115	600588	用友网络	32.56	股吧 行情 档案 资讯	信息技术	北京市	0.31	0.18	2.51	6.98	25.04	24.93	811.61
116	600585	海螺水泥	48.00	股吧 行情 档案 资讯	建材	芜湖市	0.72	4.49	24.08	19.82	52.99	52.99	1919.86
117	600583	海油工程	7.19	股吧 行情 档案 资讯	能源	天津市	0.12	-0.14	4.98	-2.83	44.21	44.21	317.90
118	600570	恒生电子	88.69	股吧 行情 档案 资讯	信息技术	杭州市	0.43	1.00	4.74	22.99	8.03	8.03	712.31
119	600566	济川药业	26.06	股吧 行情 档案 资讯	医药生物	荆州市	0.06	1.60	7.00	23.19	8.15	8.15	212.37
120	600547	山东黄金	32.47	股吧 行情 档案 资讯	有色金属	济南市	0.25	0.31	7.17	4.32	31.00	26.96	713.20
121	600535	天士力	15.66	股吧 行情 档案 资讯	医药生物	天津市	0.11	0.75	7.35	10.46	15.13	15.13	236.88
122	600522	中天科技	8.26	股吧 行情 档案 资讯	信息技术	南通市	0.15	0.47	6.54	7.18	30.66	30.66	253.26
123	600519	贵州茅台	1052.80	股吧 行情 档案 资讯	食品饮料	遵义市	3.88	24.24	99.71	25.58	12.56	12.56	13225.25
124	600516	方大炭素	11.22	股吧 行情 档案 资讯	有色金属	兰州市	0.14	0.72	5.48	14.05	27.19	27.19	305.02
125	600498	烽火通信	26.00	股吧 行情 档案 资讯	信息技术	武汉市	0.14	0.53	8.75	6.11	11.71	11.07	287.80
126	600489	中金黄金	8.11	股吧 行情 档案 资讯	有色金属	北京市	0.10	0.04	3.97	0.96	34.51	34.51	279.89
