symbol,name,mktcap,nmc,turnoverratio
SH603439,贵州三力,1438254.744696,143852.94,42.03091
SH600699,均胜电子,2838281.47111,2838281.47111,2.1259
SZ000895,双汇发展,14123545.71845,3752983.854035,1.60285
SZ000998,隆平高科,2159831.28872,1589806.79796,3.78271
SZ002127,南极电商,5192050.902345,4131952.827885,1.44538
SH600216,浙江医药,1825057.048,1825048.963975,3.27161
SZ000963,华东医药,4101553.580512,4101494.406232,1.45523
SZ000338,潍柴动力,10869407.23615,5815652.22625,1.02254
SH603883,老百姓,3014904.5017,2818754.50885,2.09548
SZ002252,上海莱士,5884707.842811,4340895.115977,1.35689
SH601005,重庆钢铁,1507243.783123,1416300.286323,4.14082
SZ000519,中兵红箭,1256088.201764,1255126.206136,4.65401
SZ002080,中材科技,2594379.060864,2594379.060864,2.23084
SH600867,通化东宝,3138444.281731,3138444.281731,1.84346
SZ002812,恩捷股份,5118131.24335,3311722.91278,1.74402
SH600909,华安证券,2415207,2415207,2.38638
SZ300002,神州泰岳,1311970.537296,1090331.574534,5.28103
SZ000501,鄂武商Ａ,1161948.016541,1160081.212305,4.93945
SZ002024,苏宁易购,8425585.887775,7036546.292065,0.81204
SH600600,青岛啤酒,9497409.04885,4892272.72751,1.1567
SH600161,天坛生物,4630974.95501,4630974.95501,1.22151
SZ002497,雅化集团,940100.678012,830356.13282,6.80911
SH601727,上海电气,7864130.018004,5652255.550719,0.99764
SZ002187,广百股份,460215.931392,460215.931392,12.18363
SH600340,华夏幸福,6874256.621247,6801565.901247,0.82362
SH600050,中国联通,15264549.782004,10577956.11114,0.52899
SZ300037,新宙邦,2088881.962605,1305522.53388,4.28209
SZ000783,长江证券,3754577.066499,3754508.236269,1.48374
SH601816,京沪高铁,31231724.212596,1656277.729812,3.34309
SH601689,拓普集团,2845301.959053,2845301.959053,1.94087
SZ300253,卫宁健康,3862217.343608,3125138.87946,1.76364
SH600118,中国卫星,3835994.75394,3835994.75394,1.43665
SH600885,宏发股份,2898611.960384,2898611.960384,1.89957
SH600410,华胜天成,1463526.186156,1463526.186156,3.75242
SZ002100,天康生物,1615180.903056,1615180.903056,3.39848
SH688599,天合光能,3277821.804375,452104.30635,12.07602
SZ300624,万兴科技,872540.3368,534537.267104,10.19336
SZ300381,溢多利,677278.32879,663377.003858,8.20808
SH600763,通策医疗,4858337.28,4858337.28,1.11651
SZ300567,精测电子,1705734.01474,1160238.836005,4.65421
SH600330,天通股份,986600.0727,986600.0727,5.46839
SH601628,中国人寿,79621673.985,58659884.01,0.09125
SZ002027,分众传媒,7617819.86532,7617819.86532,0.70134
SH600801,华新水泥,5101027.447215,3313453.687215,1.61022
SZ300408,三环集团,3894572.321802,3710877.193242,1.43771
SH600352,浙江龙盛,4161011.44894,4161011.44894,1.27348
SZ000959,首钢股份,2390804.0992,2285810.667192,2.31639
SZ300293,蓝英装备,383400,383400,13.80527
SZ300017,网宿科技,2085951.372628,1891619.973165,2.79579
SZ002736,国信证券,9200400,9200400,0.57422
SH603882,金域医学,3740916.99409,2284653.63656,2.30241
SH600739,XD辽宁成,2920216.038744,2920216.038744,1.79863
SZ002151,北斗星通,1648597.715855,1234460.32481,4.22616
SZ300124,汇川技术,6026296.01088,4807412.83908,1.08433
SZ002239,奥特佳,1077187.639448,1077187.639448,4.82777
SZ002281,光迅科技,2194937.478156,2128463.526366,2.44324
SH600016,民生银行,24824631.290634,20107023.861771,0.25775
SH601099,太平洋,2181221.2384,2181221.2384,2.37495
SZ300803,指南针,2298374.994325,322907.5,16.01425
SH603538,美诺华,791967.462,772587.5872,6.68975
SZ002138,顺络电子,1980317.877424,1715945.44388,2.98055
SZ002850,科达利,1308090,809846.897005,6.3096
SZ002780,三夫户外,311959.347332,232592.723005,21.96153
SZ000596,古井贡酒,7408963.2,5643523.2,0.90497
SH601519,大智慧,1494750.4,1494750.4,3.41628
SH603659,璞泰来,4341742.958296,1930656.157888,2.63959
SH600559,老白干酒,952919.265528,931080.31983,5.43818
SZ002214,大立科技,1086122.665088,846137.077568,5.98089
SH601336,新华保险,14115948.365,9436613.0135,0.53599
SZ300612,宣亚国际,334368,205574.2452,24.46485
SH600789,鲁抗医药,808931.126465,783099.776132,6.40621
SH600503,华丽家族,666552.64,666552.64,7.50413
SH603353,和顺石油,680371.38,170271.38,29.3231
SZ000011,深物业A,942242.944452,832357.833483,5.96253
SH600884,DR杉杉股,1294548.028858,1294548.028858,3.82908
SZ000931,中 关 村,815636.521506,808125.835281,6.1002
SH603236,移远通信,2001841.296,500572.56,9.84769
SH688004,博汇科技,649792,147165.876,33.41811
SZ002468,申通快递,2629918.121188,2511027.430754,1.95713
SZ300294,博雅生物,1683900.417618,1628997.626202,3.00477
SZ300373,扬杰科技,1312484.96254,1308230.25872,3.73859
SZ300166,东方国信,1513520.979335,1172242.587298,4.13925
SH600900,长江电力,39974000,39974000,0.12118
SZ002709,天赐材料,1771162.326181,1187452.328037,4.04655
SH600712,南宁百货,328427.18208,324638.250273,14.75114
SZ300497,富祥药业,864629.70208,673943.3212,7.0908
SZ300837,浙矿股份,444600,111150,42.84606
SZ002489,浙江永强,915985.067763,792095.449796,5.9914
SH688396,华润微,4798040.81947,935742.554648,5.06151
SH603990,麦迪科技,579029.641624,576688,8.16198
SZ300838,浙江力诺,363755.12,90938.78,51.48452
SZ300070,碧水源,2693071.701494,1856206.240473,2.52222
SZ000750,国海证券,2357479.547562,2357477.501637,1.9774
SH601360,三六零,12628490.996789,3340495.722058,1.38981
SZ002838,道恩股份,1186485.1625,978918.29662,4.73588
SZ000987,越秀金控,3157558.812838,3059373.45189,1.5135
SZ000401,冀东水泥,2257100.88095,2256582.697925,2.04574
SZ300390,天华超净,765722.364,470062.635336,9.77674
SZ002410,广联达,7304363.149911,5837633.549109,0.78703
SZ300045,华力创通,831481.31745,578815.83315,7.90902
SZ000686,东北证券,1977682.713175,1977682.713175,2.31469
SZ000672,上峰水泥,1888411.720591,1888411.720591,2.422
SH601698,中国卫通,7316000,731600,6.21864
SZ002124,天邦股份,1311539.378838,1068094.24371,4.23611
SZ300203,聚光科技,861140.6122,860070.1747,5.25746
SZ300016,北陆药业,550439.131788,451064.082021,10.01872
SH601939,建设银行,157006893.86121,6024816.976568,0.74845
SZ002326,永太科技,1084681.642746,826869.277432,5.44754
SH600741,华域汽车,6582887.678592,6582887.678592,0.6831
SH601198,东兴证券,2984113.430874,2984113.430874,1.49807
SH601328,交通银行,38171041.49553,20174944.10371,0.22094
SH603195,公牛集团,9918600,991860,4.4931
SZ300702,天宇股份,1926831.92344,580599.401966,7.66318
SH600808,马钢股份,2071483.239034,1605325.069034,2.76975
SH600126,杭钢股份,3437978.486494,3437978.486494,1.28472
SZ300595,欧普康视,3833546.85432,2727239.218628,1.60924
SZ000735,罗 牛 山,1209089.2569,1208431.14945,3.63165
SH600667,太极实业,2504260.121642,2504260.121642,1.73884
SZ300118,东方日升,1257397.117695,972029.855025,4.44387
SH603127,昭衍新药,2057365.187604,1006038.9767,4.24575
SZ000425,徐工机械,4747203.06858,4238992.666218,1.00612
SH600824,益民集团,490122.588945,490122.588945,8.67591
SZ002240,威华股份,932149.374674,614733.421575,6.9155
SZ002745,木林森,1932356.00102,1106743.848015,3.83861
SZ300368,汇金股份,494707.43175,474029.03334,8.95688
SH601009,XD南京银,7425206.593966,6293798.279608,0.67406
SZ300482,万孚生物,3212626.809375,2260170.684375,1.87573
SH600958,东方证券,6560049.143214,5325364.18652,0.79581
SZ002368,太极股份,1693626.176869,1661940.50088,2.54405
SZ000526,紫光学大,524744.308685,524744.308685,8.05385
SH600000,浦发银行,31142557.301217,29818093.496839,0.14167
SH601872,招商轮船,4017111.587944,3158477.034752,1.33355
SZ002118,紫鑫药业,627572.31474,627532.6022,6.70286
SZ002975,博杰股份,1213444.3156,303361.5156,13.85123
SZ300010,立思辰,1512621.535074,1267220.516484,3.31288
SZ300397,天和防务,943056,688475.969865,6.09608
SZ002194,武汉凡谷,1452776.399688,1057718.581008,3.9626
SH603598,引力传媒,427584.34,423223.382,9.90051
SZ002439,启明星辰,3623238.502702,2771061.656006,1.50941
SH601377,兴业证券,3951036.28766,3951036.28766,1.0498
SH603444,吉比特,3261932.01528,3261932.01528,1.27145
SH601609,金田铜业,1548758.047,257246,16.10976
SH600380,健康元,3291338.544,3291338.544,1.25811
SZ002373,千方科技,3389087.948575,2375785.382766,1.74204
SH601818,光大银行,19998435.745365,12954227.519865,0.31936
SZ300280,紫天科技,743557.633472,680463.113372,6.07925
SZ300233,金城医药,1210908.89304,1131530.28912,3.65289
SH603806,福斯特,3259456.2,3259456.2,1.26718
SZ002990,盛视科技,1124293.44,281073.36,14.68869
SH601658,邮储银行,40184095.7364,1792154.9184,2.29975
SZ300590,移为通信,768473.802,540962.6685,7.61137
SZ002436,兴森科技,1800368.07984,1527696.67677,2.69123
SZ002414,高德红外,4177021.951872,3273658.93344,1.25571
SZ300315,掌趣科技,1841999.440256,1758330.205128,2.32268
SH600298,安琪酵母,3756160.938194,3756160.938194,1.08346
SZ300392,腾信股份,374400,252705.124425,16.07591
SZ002950,奥美医疗,1594562.294826,562831.447816,7.21434
SH600845,宝信软件,6378996.19104,4616761.3512,0.87919
SZ002291,星期六,1741352.560578,1260729.425988,3.20397
SZ300303,聚飞光电,766813.9314,685605.204,5.87621
SZ002507,涪陵榨菜,2762750.3435,2721358.052,1.47756
SH688388,嘉元科技,1353164.236,326322.064738,12.32088
SH600019,宝钢股份,10578861.859375,10524091.746875,0.3818
SZ002576,通达动力,200101.2,199271.287848,20.15536
SZ300759,康龙化成,6989020.890676,2491887.004502,1.60286
SZ002503,搜于特,896826.56484,635124.56068,6.27121
SZ002981,朝阳科技,475776,118944,33.39584
SH600682,南京新百,1370362.600978,1131620.478496,3.50925
SZ002022,科华生物,895528.39782,893089.52682,4.439
SZ000913,钱江摩托,552406.848,552406.848,7.17212
SZ300709,精研科技,1063617.54551,678851.108078,5.82923
SZ002183,怡 亚 通,1110170.959337,1108668.727086,3.56802
SH600143,金发科技,3525862.60991,3525862.60991,1.11845
SH600624,复旦复华,664855.36171,664855.36171,5.9226
SZ300729,乐歌股份,423156.75633,121921.992423,32.28217
SH600206,有研新材,1140398.395404,1133470.505004,3.45818
SZ002607,中公教育,17891625.627489,2379794.61996,1.64626
SZ300792,壹网壹创,2724597.7776,679968,5.76155
SZ000513,丽珠集团,4399753.52971,2808493.86027,1.39124
SZ300308,中际旭创,4480103.384352,2500810.809282,1.56233
SZ300666,江丰电子,1239417.656048,943488.970264,4.13362
SZ300496,中科创达,2683165.636602,1908350.625852,2.04289
SH600660,福耀玻璃,5380984.60614,4296405.68214,0.90723
SZ300664,鹏鹞环保,644592.1144,438580.6438,8.87272
SZ300007,汉威科技,454478.372106,374428.673487,10.32396
SH600720,祁连山,1321246.059964,1321028.893274,2.91794
SH600028,中国石化,48549555.068046,38318666.189446,0.10057
SH600095,哈高科,2742901.13982,384745.696725,10.00737
SH600488,天药股份,570269.66024,505867.800788,7.58427
SZ002572,索菲亚,2057394.43569,1437176.52969,2.66921
SZ002565,顺灏股份,533258.931766,531217.170765,7.20775
SZ300054,鼎龙股份,1396629.321173,1020702.034973,3.74797
SH601186,中国铁建,11719144.3145,9927300.8665,0.38519
SH688399,硕世生物,1266192,300823.2,12.66378
SZ002294,信立泰,2673616.896,2673241.9308,1.4209
SZ000652,泰达股份,950269.560688,949328.890496,3.99238
SZ002301,齐心集团,1223611.505033,1067677.69284,3.5447
SZ002918,蒙娜丽莎,1346830.53375,461152.973625,8.20674
SZ002945,华林证券,3780000,1056704.7246,3.57414
SH601827,三峰环境,1688337.608,380537.608,9.91634
SH600305,恒顺醋业,1844436.142848,1844436.142848,2.04084
SH601988,中国银行,102152563.56063,73135633.651562,0.05138
SH603533,掌阅科技,1535028,624544.07598,6.01103
SZ002557,洽洽食品,2923362,2923362,1.28113
SZ002432,九安医疗,472624.065732,472624.065732,7.90942
