==============================================================
List on u20hp02.pve3700
--------------------------------------------------------------
symbol	name	mktcap	nmc	turnover	located0624	activity
SZ002338	奥普光电	682800	682731.5778	9.48718		6477197.37
SZ002601	龙蟒佰利	3667797.705	2599510.801	2.49891		6495943.536
SZ002169	智光电气	824030.4257	795139.8806	8.29808		6598134.341
SZ002271	东方雨虹	6539723.048	4588565.637	1.47854		6784377.837
SZ002340	格林美	2263033.998	1952167.739	3.60952		7046388.497
SZ002180	纳思达	3662177.397	3467667.289	2.0489		7104903.507
SZ002036	联创电子	1138204.919	1130716.366	6.32804		7155218.391
SZ002605	姚记科技	1413094.671	957435.8704	7.66218		7336045.978
SZ002019	亿帆医药	2841169.813	1860747.666	4.09829		7625883.552
SZ002083	孚日股份	511204.0028	496734.306	15.37834		7638949.048
SZ002481	双塔食品	2168472.16	1930830.622	4.01951		7760992.992
SZ002602	世纪华通	8518129.923	3546395.099	2.31255		8201215.986
SZ002463	沪电股份	4216933.953	4127860.593	2.04971		8460917.136
SZ002065	东华软件	3573458.284	3220326.535	2.80959		9047797.231
