symbol,name,mktcap,nmc,turnoverratio
SH603050,科林电气,188667.0935,187120.4198,1.49036
SH603053,成都燃气,1309334.97,130934.97,3.07155
SH603055,台华新材,605648.3255,111460.51698,5.57186
SH603056,德邦股份,1377600,312340.456925,3.50788
SH603058,永吉股份,339869.3384,182349.6194,1.83771
SH603059,倍加洁,264100,66025,3.84748
SH603060,国检集团,789527.2,789527.2,0.8569
SH603063,禾望电气,313093.455,188679.764,1.2765
SH603066,音飞储存,288374.0811,288374.0811,1.49085
SH603067,振华股份,266050.4,266050.4,1.15419
SH603068,博通集成,1014828.214744,688826.501196,1.77707
SH603069,海汽集团,420280,420280,4.79793
SH603076,乐惠国际,200405,72224.34531,2.56134
SH603077,和邦生物,1201050.031008,1201050.031008,1.17281
SH603078,江化微,601910.4,601910.4,4.52843
SH603079,圣达生物,499700.568402,191209.509498,5.26663
SH603080,新疆火炬,184233,113579.97,0.99812
SH603081,大丰实业,464093.711235,464093.711235,0.43433
SH603083,剑桥科技,745256.574608,431613.994552,5.25817
SH603085,天成自控,179247.457312,179247.457312,0.89428
SH603086,先达股份,230182.4,230182.4,0.60429
SH603088,宁波精达,191296,191296,2.93783
SH603089,正裕工业,184793.774625,184793.774625,1.00041
SH603090,宏盛股份,163600,163600,1.3816
SH603093,南华期货,1300940,157010,10.20601
SH603095,越剑智能,409068,102267,8.28769
SH603096,新经典,801894.05,800362.65,0.43593
SH603098,森特股份,433450.836,433450.836,0.16414
SH603099,长白山,206669.25,206669.25,0.58882
SH603100,川仪股份,319160,319160,0.23491
SH603101,汇嘉时代,294940.8,294940.8,3.29563
SH603103,横店影视,976668,114268,6.24979
SH603105,芯能科技,447000,275620.2,5.03617
SH603106,恒银金融,345545.2,146239.665,12.45128
SH603108,润达医疗,767303.120596,767303.120596,2.89101
SH603109,神驰机电,413462.73,103372.73,7.31297
SH603110,东方材料,213012.86916,80473.40028,2.28734
SH603111,康尼机电,640662.68718,539209.19625,0.63717
SH603113,金能科技,824646.1351,824646.1351,2.63592
SH603115,海星股份,394368,98592,6.86717
SH603116,XD红蜻蜓,411983.572,411983.572,0.4319
SH603117,万林物流,233415.129255,229831.454226,0.83888
SH603118,共进股份,929328.531736,929328.531736,1.87687
SH603121,华培动力,347328,159308.7408,2.75155
SH603123,翠微股份,406211.77205,406211.77205,0.95503
SH603126,中材节能,249694.5,249694.5,0.39546
SH603127,昭衍新药,2057365.187604,1006038.9767,4.24575
SH603128,华贸物流,605198.935094,605198.935094,2.30837
SH603129,春风动力,932987.8426,457613.504922,3.95449
SH603131,上海沪工,560906.580528,513505.854288,1.36861
SH603133,碳元科技,365599.22,361949.896,1.28956
SH603136,天目湖,288260,72065,2.28497
SH603138,海量数据,455638.35828,455441.58576,3.01262
SH603139,康惠制药,190371.28,190371.28,1.71076
SH603156,养元饮品,2723342.2272,1651303.60728,0.35185
SH603157,拉夏贝尔,179088.626934,47677.589829,4.09172
SH603158,XD腾龙股,513787.8016,513787.8016,1.8437
SH603159,上海亚虹,159040,159040,0.73518
SH603160,汇顶科技,9532449.863076,9381812.096258,1.89101
SH603161,科华控股,186226.4,96882.4,1.85634
SH603165,荣晟环保,285788.943465,285788.943465,0.43537
SH603166,福达股份,388108.67892,385996.19892,1.47787
SH603167,渤海轮渡,365479.504119,359991.822519,0.77162
SH603168,莎普爱思,260977.331691,260977.331691,0.79966
SH603169,兰石重装,450043.081128,446693.515464,0.31684
SH603177,德创环保,179780,179780,0.79015
SH603178,圣龙股份,176207.8914,175440.699,1.31124
SH603179,新泉股份,697246.167794,697246.167794,1.36966
SH603180,金牌厨柜,452194.305187,442400.86324,1.57842
SH603181,皇马科技,596960,295495.2,1.88055
SH603183,建研院,192659.409306,105717.601955,3.42091
SH603185,上机数控,1001002.2165,251264.9412,5.07568
SH603186,华正新材,685368.6304,624113.75,3.50006
SH603187,海容冷链,571795.84,424339.69424,2.89299
SH603188,ST亚邦,342144,342144,0.17156
SH603189,网达软件,505411.2,505411.2,1.66526
SH603192,汇得科技,293973.334252,73493.334252,14.87057
SH603195,公牛集团,9918600,991860,4.4931
SH603196,日播时尚,188640,188640,1.69183
SH603197,保隆科技,497735.607159,491331.347829,3.04663
SH603198,迎驾贡酒,1760800,1760800,1.3067
SH603199,九华旅游,238183.36,238183.36,0.66634
SH603200,上海洗霸,443706.1983,439039.07178,3.92056
SH603203,快克股份,442208.1264,439859.94147,0.61025
SH603208,江山欧派,1199795.23818,1199795.23818,0.89804
SH603212,赛伍技术,1028025.7,102825.7,13.13593
