http://www.shdjt.com/flsort.asp?lb=993505
序	股票代码	股票名称	行业	最新	涨幅↓	市值亿元	市盈率%	涨幅3日%	涨幅半年	净额万元	ddx	ddy	ddz	主动率	通吃率	ddx红	特大差	大单差	中单差	小单差	活跃度	单数比	特大买入	特大卖出	大单买入	大单卖出	中单买入	中单卖出	小单买入	小单卖出	换手率	量比
47	002938	鹏鼎控股 点评	电子设备	46.65	1.59%	108	48	25.1	55.76	3483	.32	.65	21.17	-1.13	11.1	4	1	3.4	7.7	-3.6	-7.5	70	1.32	8.9	5.5	31.7	24.0	32.5	36.1	26.9	34.4	2.91	0.87
48	002044	美年健康 点评	卫生	15.18	1.54%	515	114	27.78	44.04	-116	0	-.28	-22.93	21.19	-.3	1	0	-1.4	1.1	-8.5	8.8	77	0.57	7.3	8.7	31.1	30.0	32.9	41.4	28.7	19.9	0.75	1.01
49	600703	三安光电 点评	电子设备	19.24	1.53%	785	51	67.01	65.01	3146	.04	.02	2.6	3.85	1.7	5	1	1.7	0	-.6	-1.1	123	1.01	18.6	16.9	43.5	43.5	16.6	17.2	21.3	22.4	2.36	0.99
50	300070	碧水源 点评	生态环境	8.02	1.52%	175	53	23.77	-.37	1826	.1	.24	13.55	7.9	4.2	3	1	2.7	1.5	.4	-4.6	94	1.22	19.0	16.3	30.2	28.7	32.2	31.8	18.6	23.2	2.49	1.74
51	600977	中国电影 点评	文体传媒	16.27	1.50%	304	26	8.61	2.66	442	.02	.02	3.75	8.76	1.2	5	1	8.8	-7.6	1.4	-2.6	107	1.05	18.9	10.1	35.3	42.9	21.1	19.7	24.7	27.3	1.21	1.74
52	600482	中国动力 点评	运输设备	20.45	1.49%	178	37	-19.61	-21.26	313	.02	.02	5.59	17.76	2.7	3	1	2.4	.3	-4	1.3	99	1.06	6.8	4.4	44.1	43.8	19.0	23.0	30.1	28.8	0.66	1.41
53	600438	通威股份 点评	食品加工	14.36	1.48%	558	19	-6.69	3.61	9748	.18	.05	20.6	-3.77	13.3	6	1	4	9.3	-2.1	-11.2	125	1.12	16.7	12.7	52.6	43.3	13.7	15.8	17.0	28.2	1.31	1.65
54	600637	东方明珠 点评	信号传输	10.15	1.40%	347	20	5.07	-.88	3111	.09	.09	25.92	11.25	9.2	5	1	11.5	-2.3	-2.2	-7.0	122	1.31	20.7	9.2	45.0	47.3	14.3	16.5	20.0	27.0	0.98	1.80
55	000553	安道麦A 点评	化学制品	10.28	1.38%	48	24	5.44	-3.23	-24	0	-.05	-12.43	6.72	-.4	0	0	4.4	-4.8	-8.3	8.7	49	0.63	6.5	2.1	18.0	22.8	34.6	42.9	40.9	32.2	1.28	1.96
56	601857	中国石油 点评	石油开采	5.95	1.36%	9634	22	2.23	-12.79	10975	.01	0	44.21	3.81	15.4	1	1	12.2	3.2	-3.8	-11.6	127	1.53	29.9	17.7	41.4	38.2	12.4	16.2	16.3	27.9	0.07	2.31
57	600036	招商银行 点评	金融服务	39.40	1.34%	8128	10	4.15	12.12	25361	.03	0	48.7	-7.07	12.4	1	1	13	-.6	-3.3	-9.1	151	1.58	34.4	21.4	47.5	48.1	8.6	11.9	9.5	18.6	0.25	1.18
58	002027	分众传媒 点评	商务服务	6.61	1.23%	970	53	18.46	25.9	10958	.11	.22	26.95	-9.74	6.7	6	1	8.5	-1.8	-2.8	-3.9	121	1.38	30.9	22.4	33.1	34.9	23.3	26.1	12.7	16.6	1.67	1.62
59	002081	金螳螂 点评	建筑装饰	9.29	1.20%	240	11	-4.03	-13.18	32	0	-.12	-9.65	.4	.1	5	1	-3.6	3.7	-.7	0.6	83	0.79	11.9	15.5	29.6	25.9	33.9	34.6	24.6	24.0	1.35	1.19
